CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_NVA_ALIANZA,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,482,1,17.0,43.0,23.0,59.0,8.0,21.0,2.0,33.0,4.0,5.0,,10.0,0.0,0.0,13.0,238.0,674
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,483,2,14.0,76.0,31.0,71.0,9.0,25.0,10.0,39.0,9.0,17.0,,11.0,0.0,0.0,16.0,328.0,866
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,484,2,22.0,91.0,29.0,99.0,15.0,19.0,12.0,47.0,14.0,10.0,,24.0,0.0,3.0,33.0,418.0,1036
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,485,2,18.0,98.0,28.0,84.0,24.0,16.0,13.0,50.0,9.0,10.0,,17.0,0.0,1.0,22.0,390.0,975
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,486,2,15.0,58.0,23.0,58.0,12.0,17.0,4.0,31.0,10.0,3.0,,25.0,0.0,0.0,16.0,272.0,834
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,487,2,14.0,62.0,14.0,67.0,14.0,21.0,16.0,51.0,4.0,3.0,,11.0,0.0,0.0,14.0,291.0,819
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,488,1,24.0,61.0,22.0,37.0,19.0,25.0,6.0,44.0,6.0,13.0,,16.0,0.0,0.0,13.0,286.0,720
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,489,1,18.0,67.0,12.0,52.0,20.0,16.0,2.0,32.0,2.0,10.0,,8.0,0.0,0.0,14.0,253.0,700
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,490,2,33.0,81.0,29.0,52.0,7.0,21.0,6.0,36.0,5.0,12.0,,9.0,0.0,0.0,28.0,319.0,785
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,491,15,150.0,460.0,121.0,285.0,74.0,153.0,83.0,346.0,76.0,97.0,,48.0,0.0,3.0,81.0,1977.0,10541
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,492,3,30.0,91.0,27.0,44.0,12.0,39.0,16.0,74.0,8.0,23.0,,18.0,0.0,0.0,19.0,401.0,1851
